x,y,theta
1.562,-3.112,1.57
1.562,-3.1109473684210527,1.57
1.562,-3.1098947368421053,1.57
1.562,-3.108842105263158,1.57
1.562,-3.1077894736842104,1.57
1.562,-3.1067368421052635,1.57
1.562,-3.105684210526316,1.57
1.562,-3.1046315789473686,1.57
1.562,-3.103578947368421,1.57
1.562,-3.102526315789474,1.57
1.562,-3.1014736842105264,1.57
1.562,-3.100421052631579,1.57
1.562,-3.0993684210526316,1.57
1.562,-3.098315789473684,1.57
1.562,-3.0972631578947367,1.57
1.562,-3.0962105263157897,1.57
1.562,-3.0951578947368423,1.57
1.562,-3.094105263157895,1.57
1.562,-3.0930526315789475,1.57
1.562,-3.092,1.57
1.562,-2.8320000000000003,1.57
1.5619183554454006,-2.8304225105700547,1.57
1.561679253535501,-2.8288537687709576,1.57
1.5612914419011517,-2.8273025222335613,1.57
1.5607636681732033,-2.825777518588716,1.57
1.560104679982505,-2.82428750546727,1.57
1.5593232249599067,-2.822841230500073,1.57
1.5584280507362587,-2.821447441317976,1.57
1.5574279049424113,-2.82011488555183,1.57
1.5563315352092146,-2.8188523108324834,1.57
1.5551476891675171,-2.817668464790786,1.57
1.5538851144481702,-2.816572095057589,1.57
1.5525525586820237,-2.815571949263741,1.57
1.551158769499927,-2.8146767750400934,1.57
1.5497124945327307,-2.8138953200174956,1.57
1.5482224814112846,-2.813236331826797,1.57
1.5466974777664382,-2.8127085580988487,1.57
1.5451462312290423,-2.8123207464644993,1.57
1.543577489429946,-2.8120816445546,1.57
1.542,-2.8120000000000003,1.57
1.542,-2.8120000000000003,1.57
1.5167368421052632,-2.8120000000000003,1.57
1.4914736842105263,-2.8120000000000003,1.57
1.4662105263157894,-2.8120000000000003,1.57
1.4409473684210528,-2.8120000000000003,1.57
1.4156842105263159,-2.8120000000000003,1.57
1.390421052631579,-2.8120000000000003,1.57
1.3651578947368421,-2.8120000000000003,1.57
1.3398947368421052,-2.8120000000000003,1.57
1.3146315789473684,-2.8120000000000003,1.57
1.2893684210526315,-2.8120000000000003,1.57
1.2641052631578948,-2.8120000000000003,1.57
1.238842105263158,-2.8120000000000003,1.57
1.213578947368421,-2.8120000000000003,1.57
1.1883157894736842,-2.8120000000000003,1.57
1.1630526315789473,-2.8120000000000003,1.57
1.1377894736842107,-2.8120000000000003,1.57
1.1125263157894738,-2.8120000000000003,1.57
1.087263157894737,-2.8120000000000003,1.57
1.062,-2.8120000000000003,1.57
