x,y,theta,speed,lookahead_distance,p_gain,i_gain,path_p_gain,path_i_gain,distance_threshold,angle_threshold
-2.924,2.882,-3.141592653589793,0.31162528854647004,0.13673886540698005,2.0,1.0,-inf,0.05,0.1,0.1
-2.924,2.875469387755102,-3.1345169944600864,0.31317798367853655,0.13707909767981474,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.868938775510204,-3.1274413353303796,0.31612438087552847,0.13772241231016724,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.8624081632653064,-3.120365676200673,0.3201936474360766,0.13860598416433756,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.8558775510204084,-3.113290017070966,0.32507489866549133,0.13965849032525549,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.8493469387755104,-3.1062143579412593,0.33048313929490514,0.14081544076447833,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.8428163265306123,-3.0991386988115526,0.33619832485598933,0.14202781238672713,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.8362857142857143,-3.092063039681846,0.3420739406865049,0.14326352097163567,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.8297551020408163,-3.084987380552139,0.34802479440494843,0.14450428251196193,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.8232244897959187,-3.0779117214224323,0.35400730469170416,0.1457409972571282,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.8166938775510206,-3.0708360622927255,0.36000176357276525,0.14696974455433306,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.8101632653061226,-3.063760403163019,0.36600026766805666,0.14818912261054587,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.8036326530612246,-3.056684744033312,0.372,0.1493987951758648,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.7971020408163265,-3.0496090849036057,0.378,0.15059880477613358,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.790571428571429,-3.042533425773899,0.3840465742418547,0.1517985324517707,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.784040816326531,-3.035457766644192,0.39021131633166606,0.15301202233778877,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.777510204081633,-3.0283821075144854,0.396737046371215,0.15428617171435974,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.770979591836735,-3.0213064483847787,0.40424075353938665,0.1557383870866884,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.7644489795918368,-3.014230789255072,0.4140886768253114,0.1576239848802164,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.7579183673469387,-3.007155130125365,0.4288920634267359,0.16041671922092207,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.751387755102041,-3.0000794709956584,0.45288974000688503,0.16484351488734128,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.744857142857143,-2.9930038118659517,0.4917500976979978,0.17177021238235654,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.738326530612245,-2.985928152736245,0.5512869594246668,0.18187143141648168,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.731795918367347,-2.978852493606538,0.6350175433623717,0.19519490926185115,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.725265306122449,-2.9717768344768314,0.7413773883392607,0.21090908776142303,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.7187346938775514,-2.9647011753471246,0.862178077559716,0.2274438054851856,2.0,1.0,-inf,0.05,0.0,0.0
